customer_city,total_orders,on_time_count,on_time_pct,avg_review_score,review_count,lat,lng
sao paulo,15014,14073,93.73,4.234111021721641,14916,-23.57086022590876,-46.63324177930123
rio de janeiro,6574,5794,88.14,4.000615006150062,6504,-22.914910090595153,-43.31288271552522
belo horizonte,2687,2521,93.82,4.169535928143713,2672,-19.908772138018296,-43.95754937318114
brasilia,2065,1918,92.88,4.134793187347932,2055,-15.81107265948822,-47.97170487788516
curitiba,1483,1409,95.01,4.263728813559322,1475,-25.453054020386723,-49.27499629427107
campinas,1400,1257,89.79,4.1476945244956775,1388,-22.900861066020322,-47.068536074738354
porto alegre,1339,1181,88.2,4.056264066016504,1333,-30.04925226757611,-51.188581536396924
salvador,1188,980,82.49,3.7986348122866893,1172,-12.962654589682199,-38.46168304228361
guarulhos,1142,1070,93.7,4.1738746690203,1133,-23.446403450610912,-46.4987684618031
sao bernardo do campo,908,851,93.72,4.326710816777042,906,-23.707626338404054,-46.56386871942162
niteroi,824,721,87.5,4.014634146341463,820,-22.89392705179601,-43.08633527783995
santo andre,775,744,96.0,4.325129533678757,772,-23.65524051954675,-46.519084194684545
osasco,723,688,95.16,4.247566063977747,719,-23.536560947810024,-46.788283628866644
santos,698,633,90.69,4.239130434782608,690,-23.96252319074522,-46.32780350647337
sao jose dos campos,666,626,93.99,4.330827067669173,665,-23.21087970704399,-45.885186496537024
goiania,656,580,88.41,4.08204334365325,646,-16.68458663973804,-49.274480459316976
fortaleza,614,503,81.92,3.911475409836066,610,-3.763107946625493,-38.532429724974165
sorocaba,608,583,95.89,4.347682119205298,604,-23.485346151382075,-47.464450005691745
recife,589,510,86.59,4.0120481927710845,581,-8.068138874398809,-34.91363210482993
florianopolis,556,485,87.23,4.081818181818182,550,-27.576835639254178,-48.517951844329914
jundiai,549,516,93.99,4.202925045703839,547,-23.18567574426163,-46.90259409644344
ribeirao preto,498,479,96.18,4.2682926829268295,492,-21.18075063440761,-47.804281096227626
belem,431,389,90.26,3.9414519906323187,427,-1.452535908502296,-48.39174562887312
nova iguacu,423,366,86.52,3.9021479713603817,419,-22.742848776267014,-43.47231986351984
juiz de fora,421,396,94.06,4.228365384615385,416,-21.754104202889295,-43.36263708878047
